 lo;la;aId;aCIId;t;cId 
 10.7818878;59.9110190;211404;211409;0-6 Ullensakergata barnehage;56069 
 10.7865830;59.9444109;211992;211997;100 meterskogen barnehage;56153 
 10.8271351;59.8797960;214666;214671;Abildsø barnehage;56535 
 10.7237980;59.9097480;210767;210772;Aker Brygge Barnehage;55978 
 10.7472914;59.9253085;213084;213089;Akersbakken barnehage;56309 
 10.7566187;59.9207270;211768;211773;Akersløkka barnehage;56121 
 10.7477837;59.9230046;213280;213285;Akersveien barnehage;56337 
 10.7899320;59.9388850;210515;210520;Akersvingen barnehage;55942 
 10.7944668;59.9146135;211306;211311;Allèen Sansehage;56055 
 10.8369023;59.9130583;283482;282551;Alna åpen barnehage;72157 
 10.7231043;59.9114508;225483;225488;Amigos familiebarnehage avd. Abrakadabra;59496 
 10.6400697;59.9155784;214022;214027;Amigos familiebarnehage avd. Englegården;56443 
 10.6855600;59.9374534;214015;214020;Amigos familiebarnehage avd. Monoliten;56442 
 10.6949619;59.9185902;210774;210779;Amigos familiebarnehage avd. Semillitas;55979 
 10.6638471;59.9224696;214029;214034;Amigos familiebarnehage avd. Småvenner;56444 
 10.7074413;59.9208321;232516;232521;Amigos familiebarnehage avd. Tornerose;61352 
 10.8741584;59.9640682;211474;211479;Ammerudenga barnehage;56079 
 10.8774509;59.9649894;211481;211486;Ammerudgrenda barnehage;56080 
 10.8696649;59.9632891;211488;211493;Ammerudkollen barnehage;56081 
 10.8781258;59.9625920;211495;211500;Ammerudlia barnehage;56082 
 10.7567520;59.9621679;211999;212004;Andromeda barnehage;56154 
 10.7208932;59.9129076;210781;210786;Ankerhagen barnehage SA;55980 
 10.7754576;59.9308729;211656;211661;Annekset barnehage;56105 
 10.7701811;59.8685536;221416;221421;Arken barnehage;58648 
 10.7776424;59.9365088;212874;212879;Askeladden barnehage;56279 
 10.6844622;59.9242710;218146;218151;Askeveien barnehage;57959 
 10.8014271;59.8390380;213567;213572;Asperud barnehage;56378 
 10.7629823;59.9462074;211852;211857;Badebakken barnehage;56133 
 10.7743150;59.9028546;270392;270391;Baglerbyen FUS barnehage;70477 
 10.7552411;59.9471720;212006;212011;Bakkehaugen barnehage;56155 
 10.8320804;59.8734521;214673;214678;Bakkehavn barnehage;56536 
 10.8110170;59.8530769;212867;212872;Bakketoppen barnehage;56278 
 10.6509086;59.9533898;214281;214286;Bamsehagen barnehage;56480 
 10.6629878;59.9523314;214295;214300;Barnas barnehage, avd. Arnebråtveien;56482 
 10.6559697;59.9519832;214288;214293;Barnas barnehage, avd. Hovseter;56481 
 10.8318966;59.9386597;210599;210604;Barnas barnehage, Lunden;55954 
 10.7649436;59.9307150;211712;211717;Barnas Hus barnehage;56113 
 10.7193738;59.9493603;214526;214531;Barnebo barnehage;56515 
 10.7830471;59.9477647;212111;212116;Barnehagen Vår Josefine;56170 
 10.7872820;59.9311529;211831;211836;BarnehagenVår, Løren;56130 
 10.8183896;59.9409019;210522;210527;Barnehagenvår, Sofus;55943 
 10.8653917;59.9256231;210340;210345;Barneslottet barnehage;55917 
 10.7970173;59.8912183;212489;212494;Bauneveien barnehage;56224 
 10.7865594;59.8863431;212783;212788;Bekkelaget menighets barnehage  ;56266 
 10.7782381;59.9195881;211698;211703;Bellevue Gård barnehage;56111 
 10.7383807;59.9485159;211985;211990;Berg gård barnehage;56152 
 10.6802676;59.9004932;210788;210793;Bergebo barnehage;55981 
 10.7383807;59.9485159;211859;211864;Berglåven barnehage;56134 
 10.7381873;59.9528077;211873;211878;Bergtunet 2;56136 
 10.7383807;59.9485159;211866;211871;Bergtunet barnehage;56135 
 10.7856790;59.8258379;213714;213719;Bertram barnehage;56399 
 10.6621292;59.9236899;213819;213824;Bestum barnehage;56414 
 10.7141457;59.9137355;210795;210800;Betha Thorsens Kanvas-barnehage;55982 
 10.8491782;59.9426041;210529;210534;Bevern barnehage;55944 
 10.6354099;59.9192817;218234;218239;Bikuben barnehage;57974 
 10.7602990;59.9251436;216335;216340;Birk barnehage;57460 
 10.7819595;59.9465198;212013;212018;Bjerkealléen kanvas barnehage;56156 
 10.8226406;59.9397331;210536;210541;Bjerkedalen barnehage;55945 
 10.7570862;59.9417196;212881;212886;Bjølsen barnehage;56280 
 10.7653232;59.9433160;212888;212893;Bjølsendumpa barnehage;56281 
 10.7579440;59.9407582;212895;212900;Bjølsenhellinga barnehage;56282 
 10.7576214;59.9404780;212902;212907;Bjølsenparken barnehage;56283 
 10.8241556;59.8498323;213728;213733;Bjørnebo barnehage;56401 
 10.9059568;59.9431314;213469;213474;Bjørnheim barnehage;56364 
 10.8330213;59.8306925;213658;213663;Bjørnåsen barnehage;56391 
 10.8298172;59.8417310;213735;213740;Blakkens vei barnehage;56402 
 10.7260372;59.9408998;212482;212487;Blindern Barnestuer;56223 
 10.6492153;59.9249093;218219;218224;Blokkajordet barnehage;57970 
 10.6841371;59.9614606;214302;214307;Blåbærskogen barnehage;56483 
 10.8170050;59.8657714;212496;212501;Blåfjell barnehage;56225 
 10.8402762;59.8769843;214680;214685;Bogerud gård barnehage;56537 
 10.8435379;59.8749296;214687;214692;Bogerud Åpen barnehage;56538 
 10.8402762;59.8769843;214787;214792;Bogerudsletta barnehage;56547 
 10.7350502;59.9272199;213175;213180;Bolteløkka barnehage;56322 
 10.7011414;59.9353104;214533;214538;Borgenveien barnehage;56516 
 10.7729640;59.9138056;211467;211472;Borggata familiebarnehage;56078 
 10.8585985;59.9470995;210543;210548;Bredtvet barnehage;55946 
 10.7606521;59.9139694;211096;211101;Breigata barnehage;56025 
 10.8432854;59.8490539;213812;213817;Brennastubben familiebarnehage;56413 
 10.8183153;59.9427698;210550;210555;Brobekk barnehage;55947 
 10.7959645;59.8989713;212790;212795;Brumlebassen barnehage as  ;56267 
 10.8255176;59.9160245;210438;210443;Bryn estetiske barnehage;55931 
 10.7921050;59.8664424;212769;212774;Bråten barnehage SA;56264 
 10.7584802;59.9518351;212020;212025;Bukken Bruse barnehage;56157 
 10.8005923;59.8715693;218878;218883;Bukkene Bruse familiebarnehage;58205 
 10.6808298;59.9005746;210809;210814;Bygdøylund barnehage;55984 
 10.7310529;59.9209522;210816;210821;Bygården barnehage;55985 
