 lo;la;Name 
 10.7818878;59.9110190;0-6 Ullensakergata barnehage;56069 
 10.7865830;59.9444109;100 meterskogen barnehage;56153 
 10.8271351;59.8797960;Abildsø barnehage;56535 
 10.7237980;59.9097480;Aker Brygge Barnehage;55978 
 10.7472914;59.9253085;Akersbakken barnehage;56309 
 10.7566187;59.9207270;Akersløkka barnehage;56121 
 10.7477837;59.9230046;Akersveien barnehage;56337 
 10.7899320;59.9388850;Akersvingen barnehage;55942 
 10.7944668;59.9146135;Allèen Sansehage;56055 
 10.8369023;59.9130583;Alna åpen barnehage;72157 
 10.7231043;59.9114508;Amigos familiebarnehage avd. Abrakadabra;59496 
 10.6400697;59.9155784;Amigos familiebarnehage avd. Englegården;56443 
 10.6855600;59.9374534;Amigos familiebarnehage avd. Monoliten;56442 
 10.6949619;59.9185902;Amigos familiebarnehage avd. Semillitas;55979 
 10.6638471;59.9224696;Amigos familiebarnehage avd. Småvenner;56444 
 10.7074413;59.9208321;Amigos familiebarnehage avd. Tornerose;61352 
 10.8741584;59.9640682;Ammerudenga barnehage;56079 
 10.8774509;59.9649894;Ammerudgrenda barnehage;56080 
 10.8696649;59.9632891;Ammerudkollen barnehage;56081 
 10.8781258;59.9625920;Ammerudlia barnehage;56082 
 10.7567520;59.9621679;Andromeda barnehage;56154 
 10.7208932;59.9129076;Ankerhagen barnehage SA;55980 
 10.7754576;59.9308729;Annekset barnehage;56105 
 10.7701811;59.8685536;Arken barnehage;58648 
 10.7776424;59.9365088;Askeladden barnehage;56279 
 10.6844622;59.9242710;Askeveien barnehage;57959 
 10.8014271;59.8390380;Asperud barnehage;56378 
 10.7629823;59.9462074;Badebakken barnehage;56133 
 10.7743150;59.9028546;Baglerbyen FUS barnehage;70477 
 10.7552411;59.9471720;Bakkehaugen barnehage;56155 
 10.8320804;59.8734521;Bakkehavn barnehage;56536 
 10.8110170;59.8530769;Bakketoppen barnehage;56278 
 10.6509086;59.9533898;Bamsehagen barnehage;56480 
 10.6629878;59.9523314;Barnas barnehage, avd. Arnebråtveien;56482 
 10.6559697;59.9519832;Barnas barnehage, avd. Hovseter;56481 
 10.8318966;59.9386597;Barnas barnehage, Lunden;55954 
 10.7649436;59.9307150;Barnas Hus barnehage;56113 
 10.7193738;59.9493603;Barnebo barnehage;56515 
 10.7830471;59.9477647;Barnehagen Vår Josefine;56170 
 10.7872820;59.9311529;BarnehagenVår, Løren;56130 
 10.8183896;59.9409019;Barnehagenvår, Sofus;55943 
 10.8653917;59.9256231;Barneslottet barnehage;55917 
 10.7970173;59.8912183;Bauneveien barnehage;56224 
 10.7865594;59.8863431;Bekkelaget menighets barnehage  ;56266 
 10.7782381;59.9195881;Bellevue Gård barnehage;56111 
 10.7383807;59.9485159;Berg gård barnehage;56152 
 10.6802676;59.9004932;Bergebo barnehage;55981 
 10.7383807;59.9485159;Berglåven barnehage;56134 
 10.7381873;59.9528077;Bergtunet 2;56136 
 10.7383807;59.9485159;Bergtunet barnehage;56135 
 10.7856790;59.8258379;Bertram barnehage;56399 
 10.6621292;59.9236899;Bestum barnehage;56414 
 10.7141457;59.9137355;Betha Thorsens Kanvas-barnehage;55982 
 10.8491782;59.9426041;Bevern barnehage;55944 
 10.6354099;59.9192817;Bikuben barnehage;57974 
 10.7602990;59.9251436;Birk barnehage;57460 
 10.7819595;59.9465198;Bjerkealléen kanvas barnehage;56156 
 10.8226406;59.9397331;Bjerkedalen barnehage;55945 
 10.7570862;59.9417196;Bjølsen barnehage;56280 
 10.7653232;59.9433160;Bjølsendumpa barnehage;56281 
 10.7579440;59.9407582;Bjølsenhellinga barnehage;56282 
 10.7576214;59.9404780;Bjølsenparken barnehage;56283 
 10.8241556;59.8498323;Bjørnebo barnehage;56401 
 10.9059568;59.9431314;Bjørnheim barnehage;56364 
 10.8330213;59.8306925;Bjørnåsen barnehage;56391 
 10.8298172;59.8417310;Blakkens vei barnehage;56402 
 10.7260372;59.9408998;Blindern Barnestuer;56223 
 10.6492153;59.9249093;Blokkajordet barnehage;57970 
 10.6841371;59.9614606;Blåbærskogen barnehage;56483 
 10.8170050;59.8657714;Blåfjell barnehage;56225 
 10.8402762;59.8769843;Bogerud gård barnehage;56537 
 10.8435379;59.8749296;Bogerud Åpen barnehage;56538 
 10.8402762;59.8769843;Bogerudsletta barnehage;56547 
 10.7350502;59.9272199;Bolteløkka barnehage;56322 
 10.7011414;59.9353104;Borgenveien barnehage;56516 
 10.7729640;59.9138056;Borggata familiebarnehage;56078 
 10.8585985;59.9470995;Bredtvet barnehage;55946 
 10.7606521;59.9139694;Breigata barnehage;56025 
 10.8432854;59.8490539;Brennastubben familiebarnehage;56413 
 10.8183153;59.9427698;Brobekk barnehage;55947 
 10.7959645;59.8989713;Brumlebassen barnehage as  ;56267 
 10.8255176;59.9160245;Bryn estetiske barnehage;55931 
 10.7921050;59.8664424;Bråten barnehage SA;56264 
 10.7584802;59.9518351;Bukken Bruse barnehage;56157 
 10.8005923;59.8715693;Bukkene Bruse familiebarnehage;58205 
 10.6808298;59.9005746;Bygdøylund barnehage;55984 
 10.7310529;59.9209522;Bygården barnehage;55985 
 10.8460271;59.8776157;Bøler barnehage;56548 
 10.8400022;59.8826042;Bøler menighets barnehage;56585 
 10.8422517;59.8885016;Bøler private familibarnehage avd. Unni;56580 
 10.8445139;59.8831846;Bøler sentrum barnehage;56549 
 10.8438596;59.8829419;Bøler åpen barnehage;57897 
 10.6931296;59.9637421;Casa dei Bambini Montessoribarnehage;56484 
 10.6925812;59.9260296;Casinetto barnehage;57981 
 10.6889784;59.9256329;Casinetto borettslags barnehage;56416 
 10.8381401;59.8257477;Christiania Barnehave Bjørndal;56408 
 10.9047403;59.9470316;Christiania barnehave Høybråten;56377 
 10.8020953;59.8775306;Christiania Barnehave Nordstrand;56265 
 10.8248402;59.9030466;Christinedal kunst- og kulturbarnehage;57883 
 10.7333754;59.9392182;Colletløkka barnehage;56323 
 10.6871777;59.9404468;Dalskroken barnehage;56456 
 10.7351751;59.9440577;Damplassen barnehage;56158 
 10.7786453;59.9139902;Damvokteren familiebarnehage Norderhovgata;68458 
 10.7825746;59.9153696;Damvokteren friluftsbarnehage;56052 
